dataset,n,M,metodo,tiempo
min-cant,44,22,BT-F,0.019368
min-cant,44,22,BT-O,23240.8
dinamica,0,1000,PD,16.9294
dinamica,1,1500,PD,24.3909
dinamica,2,2000,PD,38.0302
dinamica,3,2500,PD,43.1101
dinamica,4,3000,PD,58.981
dinamica,5,3500,PD,52.1165
dinamica,6,4000,PD,68.9866
dinamica,7,4500,PD,71.2479
dinamica,8,5000,PD,96.0559
dinamica,9,5500,PD,96.9589
dinamica,10,6000,PD,102.568
dinamica,11,6500,PD,101.926
dinamica,12,7000,PD,130.992
dinamica,13,7500,PD,119.979
dinamica,14,8000,PD,149.713
dinamica,15,1000,PD,32.3839
dinamica,16,1500,PD,45.3023
dinamica,17,2000,PD,63.3444
dinamica,18,2500,PD,73.5093
dinamica,19,3000,PD,94.9659
dinamica,20,3500,PD,95.6555
dinamica,21,4000,PD,121.135
dinamica,22,4500,PD,134.841
dinamica,23,5000,PD,164.945
dinamica,24,5500,PD,159.098
dinamica,25,6000,PD,193.292
dinamica,26,6500,PD,192.331
dinamica,27,7000,PD,240.381
dinamica,28,7500,PD,213.113
dinamica,29,8000,PD,258.821
dinamica,30,1000,PD,42.0007
dinamica,31,1500,PD,59.4709
dinamica,32,2000,PD,84.149
dinamica,33,2500,PD,100.024
dinamica,34,3000,PD,127.733
dinamica,35,3500,PD,129.096
dinamica,36,4000,PD,178.431
dinamica,37,4500,PD,188.407
dinamica,38,5000,PD,216.578
dinamica,39,5500,PD,234.886
dinamica,40,6000,PD,275.113
dinamica,41,6500,PD,283.387
dinamica,42,7000,PD,427.512
dinamica,43,7500,PD,416.066
dinamica,44,8000,PD,433.052
dinamica,45,1000,PD,54.1044
dinamica,46,1500,PD,84.0809
dinamica,47,2000,PD,125.216
dinamica,48,2500,PD,137.81
dinamica,49,3000,PD,191.84
dinamica,50,3500,PD,188.391
dinamica,51,4000,PD,225.879
dinamica,52,4500,PD,249.738
dinamica,53,5000,PD,299.418
dinamica,54,5500,PD,296.346
dinamica,55,6000,PD,360.172
dinamica,56,6500,PD,365.282
dinamica,57,7000,PD,440.263
dinamica,58,7500,PD,450.756
dinamica,59,8000,PD,546.708
dinamica,60,1000,PD,74.5368
dinamica,61,1500,PD,105.015
dinamica,62,2000,PD,142.799
dinamica,63,2500,PD,160.212
dinamica,64,3000,PD,223.687
dinamica,65,3500,PD,246.729
dinamica,66,4000,PD,300.369
dinamica,67,4500,PD,394.995
dinamica,68,5000,PD,443.766
dinamica,69,5500,PD,391.373
dinamica,70,6000,PD,458.123
dinamica,71,6500,PD,458.877
dinamica,72,7000,PD,544.261
dinamica,73,7500,PD,546.105
dinamica,74,8000,PD,699.537
dinamica,75,1000,PD,87.8565
dinamica,76,1500,PD,121.01
dinamica,77,2000,PD,188.663
dinamica,78,2500,PD,227.723
dinamica,79,3000,PD,262.572
dinamica,80,3500,PD,306.616
dinamica,81,4000,PD,399.702
dinamica,82,4500,PD,415.895
dinamica,83,5000,PD,493.137
dinamica,84,5500,PD,488.337
dinamica,85,6000,PD,555.542
dinamica,86,6500,PD,555.289
dinamica,87,7000,PD,659.03
dinamica,88,7500,PD,663.333
dinamica,89,8000,PD,759.838
dinamica,90,1000,PD,96.1784
dinamica,91,1500,PD,138.18
dinamica,92,2000,PD,240.058
dinamica,93,2500,PD,262.806
dinamica,94,3000,PD,336.597
dinamica,95,3500,PD,383.607
dinamica,96,4000,PD,505.506
dinamica,97,4500,PD,484.686
dinamica,98,5000,PD,521.329
dinamica,99,5500,PD,537.356
dinamica,100,6000,PD,644.92
dinamica,101,6500,PD,680.704
dinamica,102,7000,PD,856.734
dinamica,103,7500,PD,803.371
dinamica,104,8000,PD,940.622
dinamica,105,1000,PD,110.76
dinamica,106,1500,PD,205.979
dinamica,107,2000,PD,249.079
dinamica,108,2500,PD,330.823
dinamica,109,3000,PD,385.904
dinamica,110,3500,PD,411.402
dinamica,111,4000,PD,461.216
dinamica,112,4500,PD,509.99
dinamica,113,5000,PD,709.414
dinamica,114,5500,PD,623.578
dinamica,115,6000,PD,688.658
dinamica,116,6500,PD,817.81
dinamica,117,7000,PD,1161.15
dinamica,118,7500,PD,890.142
dinamica,119,8000,PD,1009.72
dinamica,120,1000,PD,122.996
dinamica,121,1500,PD,168.383
dinamica,122,2000,PD,302.916
dinamica,123,2500,PD,384.629
dinamica,124,3000,PD,404.783
dinamica,125,3500,PD,427.372
dinamica,126,4000,PD,564.554
dinamica,127,4500,PD,712.477
dinamica,128,5000,PD,762.451
dinamica,129,5500,PD,689.6
dinamica,130,6000,PD,830.938
dinamica,131,6500,PD,962.338
dinamica,132,7000,PD,954.34
dinamica,133,7500,PD,980.713
dinamica,134,8000,PD,1188.87
dinamica,135,1000,PD,184.37
dinamica,136,1500,PD,247.906
dinamica,137,2000,PD,273.352
dinamica,138,2500,PD,331.373
dinamica,139,3000,PD,443.359
dinamica,140,3500,PD,495.241
dinamica,141,4000,PD,706.268
dinamica,142,4500,PD,709.68
dinamica,143,5000,PD,843.522
dinamica,144,5500,PD,737.41
dinamica,145,6000,PD,897.994
dinamica,146,6500,PD,926.262
dinamica,147,7000,PD,1058.68
dinamica,148,7500,PD,1139.72
dinamica,149,8000,PD,1616.19
dinamica,150,1000,PD,157.07
dinamica,151,1500,PD,247.693
dinamica,152,2000,PD,324.217
dinamica,153,2500,PD,392.432
dinamica,154,3000,PD,484.461
dinamica,155,3500,PD,630.089
dinamica,156,4000,PD,727.756
dinamica,157,4500,PD,732.896
dinamica,158,5000,PD,902.735
dinamica,159,5500,PD,934.635
dinamica,160,6000,PD,1038.57
dinamica,161,6500,PD,1160.15
dinamica,162,7000,PD,1216.22
dinamica,163,7500,PD,1557.36
dinamica,164,8000,PD,1455.64
dinamica,165,1000,PD,165.666
dinamica,166,1500,PD,230.995
dinamica,167,2000,PD,388.386
dinamica,168,2500,PD,424.325
dinamica,169,3000,PD,532.249
dinamica,170,3500,PD,630.054
dinamica,171,4000,PD,732.469
dinamica,172,4500,PD,758.875
dinamica,173,5000,PD,985.996
dinamica,174,5500,PD,925.977
dinamica,175,6000,PD,1083.56
dinamica,176,6500,PD,1202.32
dinamica,177,7000,PD,1314.94
dinamica,178,7500,PD,1490.66
dinamica,179,8000,PD,1472.26
dinamica,180,1000,PD,168.729
dinamica,181,1500,PD,247.253
dinamica,182,2000,PD,349.303
dinamica,183,2500,PD,427.989
dinamica,184,3000,PD,560.386
dinamica,185,3500,PD,618.558
dinamica,186,4000,PD,757.31
dinamica,187,4500,PD,915.655
dinamica,188,5000,PD,1202.49
dinamica,189,5500,PD,1131.47
dinamica,190,6000,PD,1250.88
dinamica,191,6500,PD,1247.2
dinamica,192,7000,PD,1445.17
dinamica,193,7500,PD,1449.56
dinamica,194,8000,PD,1690.06
dinamica,195,1000,PD,196.018
dinamica,196,1500,PD,266.59
dinamica,197,2000,PD,443.248
dinamica,198,2500,PD,534.826
dinamica,199,3000,PD,661.486
